ticker,name,listed_date,sic_code,market_cap,weighted_shares
AFAC,Arena Fortify Acquisition Corp. Class A Common Stock,2021-12-31,6770,216056250.0,21562500.0
AFAQ,AF Acquisition Corp. Class A Common Stock,2021-05-18,6770,273560000.0,28000000.0
AFAR,Aura FAT Projects Acquisition Corp Class A Ordinary Shares,2022-06-03,6770,143595900.0,14490000.0
AFBI,"Affinity Bancshares, Inc. Common Stock (MD)",2021-01-21,6036,97252039.5,6615785.0
AFCG,"AFC Gamma, Inc. Common Stock",2021-03-19,6500,311348138.094,19742940.0
AFG,"American Financial Group, Inc.",1978-11-14,6331,11168789892.240002,85102026.0
AFIB,"Acutus Medical, Inc. Common Stock",2020-08-06,3841,15599124.8925,28336285.0
AFL,Aflac Inc.,1974-06-14,6321,34398386329.2,644164538.0
AFMD,Affimed N.V.,2014-09-12,,337461432.67999995,149319218.0
AFRI,Forafric Global PLC Ordinary Shares,2022-06-10,,,
AFRM,"Affirm Holdings, Inc. Class A Common Stock",2021-01-13,6141,5128535756.945001,286430369.0
AFTR,AfterNext HealthTech Acquisition Corp.,2021-10-04,6770,302187500.0,31250000.0
AFYA,Afya Limited Class A Common Shares,2019-07-19,,940437018.0,90863480.0
AG,FIRST MAJESTIC SILVER CORP,1994-04-06,,2002770409.376,262844560.0
AGAC,African Gold Acquisition Corporation,2021-03-25,6770,506120174.99999994,51750000.0
AGBA,AGBA Acquisition Limited Ordinary Share,2019-07-15,6282,53775309.637099996,4737871.0
AGCB,Altimeter Growth Corp. 2,2021-01-07,6770,562030000.0,57350000.0
AGCO,AGCO Corporation,1992-04-16,3523,8316093721.72,74543687.0
AGE,"AgeX Therapeutics, Inc.",2018-11-29,2834,26655002.46,37943064.0
AGEN,Agenus Inc.,2000-02-04,2836,350933328.16499996,270990987.0
AGFS,"AgroFresh Solutions, Inc. Common Stock",2014-04-24,2870,84239835.2,52649897.0
AGFY,Agrify Corporation Common Stock,2021-01-28,0700,59564821.120000005,26591438.0
AGGR,Agile Growth Corp. Class A Ordinary Share,2021-04-30,6770,378975000.0,38750000.0
AGI,Alamos Gold Inc. Class A Common Shares,1996-10-11,,2784210677.9,392142349.0
AGIL,"AgileThought, Inc. Class A Common Stock",2021-08-24,8742,251862380.77,50473423.0
AGIO,"Agios Pharmaceuticals, Inc.",2013-07-24,2834,934425149.985,54788927.0
AGL,"agilon health, inc.",2021-04-15,8090,7689246965.015,406730863.0
AGLE,"Aeglea BioTherapeutics, Inc.",2016-04-07,2834,43157205.805,61172510.0
AGM,Federal Agricultural Mortgage Corporation,1988-12-01,6111,985863106.9096,10795012.0
AGM.A,Federal Agricultural Mortgage Corporation Class A Voting,1993-12-13,6111,,10795012.0
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,2018-04-18,,39050295.620000005,24254842.0
AGNC,AGNC Investment Corp. Common Stock,2008-05-15,6798,5652285516.0,523359770.0
AGO,"Assured Guaranty, LTD",2004-04-23,6351,3608628749.46,64130598.0
AGR,"Avangrid, Inc.",2015-12-17,4911,16573604449.769999,386736774.0
AGRI,AgriFORCE Growing Systems Ltd. Common Shares,2021-07-08,3448,32078259.6416,15349184.0
AGRO,ADECOAGRO S.A.,2011-01-28,,1054847590.4749999,111329561.0
AGRX,"Agile Therapeutics, Inc",2014-05-23,2834,5291558.15,4542110.0
AGS,"PlayAGS, Inc.",2018-01-26,3990,215592785.51999998,37107192.0
AGTC,Applied Genetic Technologies Corporation,2014-03-27,2836,41625526.4115,50731903.0
AGTI,"Agiliti, Inc.",2019-06-06,7350,2460761523.11,132798787.0
AGX,"Argan, Inc",1995-08-18,1700,565033482.15,14849763.0
